Date,fdate,OIVol_AR_1,OIVol_AR_2,OIVol_AR_3,OIVol_AR_4,OIVol_AR_5,OIVol_TR_1,OIVol_TR_2,OIVol_TR_3,OIVol_TR_4,OIVol_TR_5,OIVol_AR_Sig,OIVol_TR_Sig,OIVol_AR_130,OIVol_TR_130,OIVol_TR_BP,OIVol_TR_LO,OIVol_CAR_1,OIVol_CAR_2,OIVol_CAR_3,OIVol_CAR_4,OIVol_CAR_5,OIVol_CTR_1,OIVol_CTR_2,OIVol_CTR_3,OIVol_CTR_4,OIVol_CTR_5,OIVol_CAR_LS,OIVol_CTR_LS,OIVol_CAR_SW,OIVol_CTR_SW,OIVol_CTR_BP,OIVol_CTR_LO,OIVol_CXR_LO,OIVol_CTR_13,OIVol_CADD,OIVol_CTDD
2019/11/30,2019/10/31,-1.02%,-1.49%,0.89%,-0.23%,0.80%,2.30%,2.50%,5.04%,4.18%,5.07%,3.41%,-1.37%,-1.23%,4.92%,3.75%,5.34%,118,113,102,114,86,388,384,398,362,337,-31.10%,-15.48%,2026%,604.3%,266.7%,728.7%,158.1%,1592%,0.00%,-1.37%
2019/12/31,2019/11/30,-1.03%,-0.40%,0.01%,0.83%,0.92%,0.94%,2.68%,2.56%,4.02%,3.55%,-5.24%,-6.16%,0.67%,5.86%,2.79%,7.71%,116,112,102,115,87,392,394,408,377,349,-29.76%,-13.27%,1915%,560.9%,276.9%,792.6%,170.8%,1691%,-5.24%,-7.44%
2020/01/31,2019/12/31,-0.36%,-0.33%,0.44%,-0.39%,-2.73%,0.54%,-0.02%,1.53%,-1.57%,-2.08%,-2.76%,-5.39%,1.62%,-0.38%,0.06%,1.23%,116,112,102,115,85,394,394,414,371,342,-31.42%,-15.55%,1859%,525.2%,277.2%,803.6%,173.9%,1684%,-7.85%,-12.43%
2020/02/29,2020/01/31,-3.40%,0.23%,-0.26%,-0.36%,2.52%,-7.91%,-7.69%,-8.60%,-9.37%,-5.17%,3.32%,-3.45%,4.21%,-6.01%,-8.00%,-4.98%,112,112,102,114,87,363,364,379,336,325,-27.36%,-13.24%,1924%,503.7%,247.0%,758.7%,182.2%,1577%,-4.80%,-15.45%
2020/03/31,2020/02/29,-7.13%,-2.56%,-1.54%,0.69%,4.12%,-14.13%,-14.10%,-15.54%,-12.81%,-8.53%,7.54%,1.62%,4.03%,-18.50%,-13.57%,-18.99%,104,109,101,115,90,312,313,320,293,297,-19.19%,-8.37%,2077%,513.5%,199.9%,595.6%,167.0%,1267%,0.00%,-14.08%
2020/04/30,2020/03/31,-0.39%,0.92%,1.44%,-1.62%,0.26%,9.54%,13.83%,15.42%,13.90%,13.71%,1.26%,-0.85%,1.73%,22.89%,13.44%,23.15%,104,110,102,113,91,342,356,369,334,338,-18.66%,-4.55%,2104%,508.2%,240.2%,756.6%,192.9%,1580%,0.00%,-14.82%
2020/05/31,2020/04/30,0.72%,-2.28%,0.18%,0.71%,-2.93%,4.03%,3.69%,6.87%,7.80%,4.79%,0.27%,-1.34%,-1.13%,11.30%,5.40%,11.70%,104,108,102,114,88,355,369,395,360,354,-21.63%,-3.83%,2110%,500.1%,258.6%,856.9%,211.3%,1769%,0.00%,-15.96%
2020/06/30,2020/05/31,-1.34%,-0.44%,0.74%,1.72%,-2.79%,-0.00%,1.64%,3.35%,5.22%,0.88%,-3.42%,-11.59%,-2.64%,2.96%,2.43%,6.43%,103,107,103,116,86,355,375,408,379,357,-22.77%,-2.98%,2035%,430.5%,267.3%,918.5%,223.8%,1825%,-3.42%,-25.70%
2020/07/31,2020/06/30,1.25%,-0.99%,-3.98%,0.98%,1.11%,5.27%,5.75%,3.40%,9.25%,5.75%,-0.50%,2.77%,-0.56%,6.24%,5.73%,5.41%,104,106,99,117,87,374,397,422,414,377,-22.87%,-2.52%,2024%,445.2%,288.3%,973.5%,222.7%,1945%,-3.90%,-23.64%
2020/08/31,2020/07/31,-0.21%,-2.83%,0.22%,-0.30%,-0.39%,5.55%,5.31%,8.32%,9.58%,7.98%,1.72%,0.54%,-8.49%,2.90%,7.38%,2.73%,104,103,99,117,86,395,418,457,454,407,-23.01%,-0.14%,2061%,448.2%,317.0%,1003%,207.8%,2004%,-2.25%,-23.23%
2020/09/30,2020/08/31,2.29%,-0.92%,-2.11%,0.78%,0.22%,-0.61%,-4.16%,-5.48%,-2.93%,-2.65%,-0.96%,-0.40%,1.37%,-1.42%,-3.61%,-1.30%,106,102,97,118,86,392,400,432,440,397,-24.61%,-2.18%,2040%,446.0%,301.9%,988.5%,214.9%,1974%,-3.19%,-23.53%
2020/10/31,2020/09/30,1.56%,1.07%,-0.37%,0.99%,-1.85%,-0.75%,-1.90%,-3.08%,-0.18%,-4.16%,2.59%,4.02%,-3.29%,0.27%,-2.11%,-0.94%,108,103,97,119,85,389,393,418,439,380,-27.18%,-5.51%,2095%,468.0%,293.4%,978.3%,218.6%,1980%,-0.69%,-20.46%
2020/11/30,2020/10/31,1.80%,0.36%,-0.70%,-2.42%,2.75%,10.88%,11.80%,11.49%,13.40%,15.79%,4.33%,2.05%,-0.72%,22.81%,12.26%,22.20%,110,104,96,116,87,432,439,467,498,440,-26.48%,-0.87%,2190%,479.6%,341.6%,1218%,250.2%,2454%,0.00%,-18.83%
2020/12/31,2020/11/30,-2.16%,0.05%,0.82%,-3.22%,-0.10%,1.45%,4.09%,6.04%,3.92%,6.48%,1.60%,2.35%,-3.47%,10.75%,4.57%,10.05%,108,104,97,112,87,438,457,495,518,469,-24.97%,4.12%,2227%,493.2%,361.8%,1350%,269.4%,2729%,0.00%,-16.92%
2021/01/31,2020/12/31,0.29%,-0.41%,0.22%,-3.49%,1.67%,0.04%,-0.08%,-0.51%,-1.54%,3.24%,-13.59%,-12.43%,4.10%,11.45%,-0.12%,15.17%,108,103,97,108,89,438,457,492,510,484,-23.93%,7.45%,1911%,419.5%,361.3%,1570%,325.9%,3052%,-13.59%,-27.25%
