Date,fdate,OIVol_AR_1,OIVol_AR_2,OIVol_AR_3,OIVol_AR_4,OIVol_AR_5,OIVol_TR_1,OIVol_TR_2,OIVol_TR_3,OIVol_TR_4,OIVol_TR_5,OIVol_AR_Sig,OIVol_TR_Sig,OIVol_AR_130,OIVol_TR_130,OIVol_TR_BP,OIVol_TR_LO,OIVol_CAR_1,OIVol_CAR_2,OIVol_CAR_3,OIVol_CAR_4,OIVol_CAR_5,OIVol_CTR_1,OIVol_CTR_2,OIVol_CTR_3,OIVol_CTR_4,OIVol_CTR_5,OIVol_CAR_LS,OIVol_CTR_LS,OIVol_CAR_SW,OIVol_CTR_SW,OIVol_CTR_BP,OIVol_CTR_LO,OIVol_CXR_LO,OIVol_CTR_13,OIVol_CADD,OIVol_CTDD
2005/12/31,2005/11/30,-0.25%,0.32%,0.06%,-1.01%,1.54%,-0.10%,0.33%,0.08%,-1.25%,1.53%,2.44%,1.82%,2.73%,1.68%,0.04%,1.14%,105,102,107,123,95,113,122,122,97,88,-11.48%,-21.55%,48.86%,60.82%,6.73%,98.85%,95.66%,139.1%,0.00%,-8.74%
2006/01/31,2005/12/31,0.32%,-1.82%,-0.54%,-2.97%,3.83%,1.90%,1.99%,2.84%,3.24%,7.46%,-4.15%,-5.43%,-2.56%,8.45%,3.44%,10.08%,106,100,107,120,99,115,125,125,100,94,-8.37%,-17.19%,42.68%,52.09%,10.40%,118.9%,108.7%,159.3%,-4.15%,-13.70%
2006/02/28,2006/01/31,0.37%,0.99%,0.35%,0.16%,-2.05%,0.71%,1.17%,0.34%,0.06%,-2.04%,-2.06%,-3.37%,-0.12%,-0.21%,0.09%,0.81%,106,101,107,120,97,116,126,125,100,92,-10.59%,-19.46%,39.74%,46.96%,10.50%,120.7%,110.2%,158.7%,-6.13%,-16.60%
2006/03/31,2006/02/28,0.83%,0.09%,-0.81%,-0.34%,-0.87%,1.74%,1.28%,1.55%,3.76%,1.66%,1.16%,1.21%,-2.45%,5.06%,1.90%,4.69%,107,101,106,120,96,118,128,127,104,94,-12.11%,-19.53%,41.36%,48.74%,12.59%,131.0%,116.0%,171.8%,-5.04%,-15.60%
2006/04/30,2006/03/31,0.45%,0.28%,-0.98%,0.18%,-0.21%,1.92%,1.52%,-0.12%,0.63%,0.96%,3.45%,3.76%,1.03%,-0.12%,0.99%,-1.25%,108,101,105,120,96,120,130,127,104,95,-12.70%,-20.30%,46.24%,54.34%,13.71%,128.1%,111.2%,171.5%,-1.76%,-12.42%
2006/05/31,2006/04/30,0.53%,-0.73%,0.00%,0.68%,-1.03%,-1.06%,-2.62%,-3.87%,-4.94%,-3.78%,1.91%,2.99%,-0.78%,-6.04%,-3.11%,-6.94%,108,100,105,121,95,119,127,122,99,91,-14.05%,-22.46%,49.03%,58.96%,10.17%,112.3%,103.1%,155.1%,0.00%,-9.80%
2006/06/30,2006/05/31,0.11%,-0.92%,1.35%,-0.84%,0.57%,0.39%,-0.68%,1.19%,-1.18%,0.91%,2.08%,2.19%,-0.44%,-1.14%,0.19%,-1.80%,108,99,107,120,95,119,126,124,98,92,-13.66%,-22.06%,52.12%,62.44%,10.39%,108.5%,99.05%,152.2%,0.00%,-7.82%
2006/07/31,2006/06/30,-0.10%,-1.95%,-0.51%,-0.58%,3.47%,0.80%,-1.91%,-1.80%,-2.42%,3.63%,2.29%,4.29%,2.06%,-2.56%,-0.28%,-3.84%,108,98,106,119,99,120,123,121,96,95,-10.57%,-19.85%,55.61%,69.40%,10.08%,100.5%,91.95%,145.7%,0.00%,-3.87%
2006/08/31,2006/07/31,-0.01%,0.02%,1.43%,0.58%,-1.27%,1.67%,2.45%,3.88%,3.97%,0.71%,-1.46%,-1.27%,-2.12%,2.73%,2.48%,3.11%,108,98,108,120,97,122,126,126,99,96,-11.70%,-20.63%,53.34%,67.26%,12.81%,106.7%,93.17%,152.4%,-1.46%,-5.09%
2006/09/30,2006/08/31,0.23%,0.17%,0.05%,2.11%,-2.42%,2.54%,2.67%,1.90%,3.89%,0.14%,3.98%,4.36%,0.87%,1.61%,2.24%,0.30%,108,98,108,122,95,125,130,129,103,96,-14.04%,-22.53%,59.44%,74.56%,15.33%,107.3%,89.43%,156.5%,0.00%,-0.95%
