Date,fdate,momentum_AR_1,momentum_AR_2,momentum_AR_3,momentum_AR_4,momentum_AR_5,momentum_TR_1,momentum_TR_2,momentum_TR_3,momentum_TR_4,momentum_TR_5,momentum_AR_Sig,momentum_TR_Sig,momentum_AR_130,momentum_TR_130,momentum_TR_BP,momentum_TR_LO,momentum_CAR_1,momentum_CAR_2,momentum_CAR_3,momentum_CAR_4,momentum_CAR_5,momentum_CTR_1,momentum_CTR_2,momentum_CTR_3,momentum_CTR_4,momentum_CTR_5,momentum_CAR_LS,momentum_CTR_LS,momentum_CAR_SW,momentum_CTR_SW,momentum_CTR_BP,momentum_CTR_LO,momentum_CXR_LO,momentum_CTR_13,momentum_CADD,momentum_CTDD
2013/11/30,2013/10/31,-0.67%,-0.21%,-0.10%,-0.18%,-1.21%,2.63%,2.82%,2.73%,3.01%,3.10%,0.15%,-0.35%,0.58%,4.55%,2.86%,4.66%,93,132,103,97,82,101,208,195,199,224,-24.80%,35.34%,20.63%,24.84%,90.59%,462.9%,212.1%,542.3%,-1.59%,-41.93%
2013/12/31,2013/11/30,0.31%,-0.06%,-0.93%,-0.27%,0.53%,2.90%,2.77%,1.85%,2.82%,3.16%,0.72%,0.86%,1.05%,4.13%,2.61%,3.87%,94,132,102,97,82,104,214,198,205,231,-24.64%,35.69%,21.51%,25.91%,95.56%,484.7%,216.1%,568.9%,-0.88%,-41.43%
2014/01/31,2013/12/31,1.18%,0.36%,0.55%,0.42%,-1.00%,-2.43%,-3.38%,-3.30%,-2.67%,-3.47%,-1.83%,-0.87%,2.65%,0.52%,-3.13%,0.78%,95,132,103,97,81,101,206,192,199,223,-26.28%,34.27%,19.28%,24.81%,89.43%,489.2%,228.4%,572.3%,-2.69%,-41.94%
2014/02/28,2014/01/31,-1.06%,-0.02%,-0.34%,0.06%,1.30%,3.10%,4.45%,4.06%,5.01%,6.25%,0.76%,1.55%,0.88%,6.68%,4.67%,6.21%,94,132,103,97,82,104,216,199,209,237,-24.54%,38.50%,20.20%,26.75%,98.28%,525.8%,233.5%,617.2%,-1.95%,-41.04%
2014/03/31,2014/02/28,0.32%,0.73%,0.30%,0.48%,-1.61%,1.04%,1.35%,1.76%,0.85%,-4.10%,3.76%,-1.29%,3.64%,-1.84%,0.51%,-1.46%,94,133,103,97,81,105,219,203,211,227,-25.99%,31.37%,24.71%,25.12%,99.29%,516.7%,226.9%,604.0%,0.00%,-41.80%
2014/04/30,2014/03/31,1.32%,0.51%,-0.09%,0.39%,-0.02%,0.90%,0.76%,0.48%,0.02%,-2.86%,0.19%,-2.25%,-0.79%,-7.14%,-0.02%,-6.46%,95,134,103,98,81,106,220,204,211,221,-26.99%,26.43%,24.95%,22.30%,99.24%,476.9%,205.9%,553.7%,0.00%,-43.11%
2014/05/31,2014/04/30,0.40%,-0.12%,-0.99%,0.37%,2.07%,1.99%,2.06%,1.64%,2.17%,2.84%,-0.31%,-0.75%,-1.24%,-1.61%,2.10%,-1.39%,96,134,102,98,83,108,225,207,216,227,-25.76%,27.51%,24.56%,21.39%,103.4%,468.9%,195.2%,543.2%,-0.31%,-43.54%
2014/06/30,2014/05/31,0.38%,0.74%,-0.87%,0.03%,-1.42%,4.04%,2.96%,1.90%,2.24%,2.60%,0.08%,0.23%,-0.84%,5.22%,2.50%,5.16%,96,135,101,98,81,113,231,211,221,233,-27.10%,25.67%,24.66%,21.66%,108.5%,498.2%,203.1%,576.8%,-0.23%,-43.41%
2014/07/31,2014/06/30,0.62%,-0.86%,-0.88%,0.95%,1.67%,-1.96%,-1.89%,-2.14%,-1.44%,-2.74%,0.47%,0.42%,1.04%,-4.57%,-1.95%,-4.70%,97,134,100,99,83,110,227,207,218,227,-26.33%,24.69%,25.25%,22.17%,104.4%,470.1%,194.7%,545.9%,0.00%,-43.17%
2014/08/31,2014/07/31,-1.41%,0.36%,-0.10%,0.18%,0.02%,3.28%,4.77%,3.53%,4.45%,4.64%,1.76%,0.77%,1.19%,5.30%,4.18%,5.07%,95,134,100,99,83,114,238,214,227,237,-25.28%,26.39%,27.45%,23.11%,113.0%,499.0%,197.4%,580.1%,0.00%,-42.73%
2014/09/30,2014/08/31,-2.02%,-0.76%,0.81%,0.59%,-0.54%,-5.48%,-2.37%,-1.28%,-1.97%,-2.10%,2.20%,1.64%,0.47%,-4.91%,-2.09%,-5.41%,93,133,101,100,82,108,232,211,223,232,-24.17%,30.65%,30.25%,25.13%,108.5%,466.6%,187.5%,546.7%,0.00%,-41.79%
2014/10/31,2014/09/30,-0.60%,1.21%,0.80%,0.21%,-1.11%,2.83%,3.56%,2.46%,2.69%,2.31%,2.63%,2.29%,-3.14%,2.56%,2.74%,1.88%,93,135,102,100,81,111,240,216,229,237,-24.56%,29.97%,33.67%,28.00%,114.2%,477.3%,185.0%,563.3%,0.00%,-40.46%
2014/11/30,2014/10/31,-1.33%,0.18%,0.78%,0.48%,-1.01%,-0.09%,2.33%,2.43%,2.21%,3.58%,1.21%,4.17%,-0.44%,3.15%,2.53%,1.90%,92,135,102,101,81,111,246,222,234,246,-24.31%,34.73%,35.29%,33.34%,119.7%,488.2%,183.2%,584.2%,0.00%,-37.97%
2014/12/31,2014/11/30,-2.76%,-0.26%,-0.68%,0.79%,0.69%,-1.64%,0.02%,-0.35%,0.79%,-0.44%,5.73%,2.65%,3.05%,3.55%,-0.03%,2.75%,89,135,102,101,81,109,246,221,236,245,-21.70%,36.35%,43.05%,36.87%,119.6%,504.4%,191.1%,608.4%,0.00%,-36.33%
2015/01/31,2014/12/31,0.79%,-0.38%,1.21%,-0.33%,0.57%,-4.44%,-3.81%,-1.58%,-4.04%,-1.30%,-1.38%,2.00%,-0.95%,-1.49%,-2.75%,-2.09%,90,134,103,101,82,104,237,217,226,242,-21.87%,40.63%,41.07%,39.61%,113.6%,491.8%,193.0%,597.9%,-1.38%,-35.06%
2015/02/28,2015/01/31,3.03%,0.75%,0.33%,-0.14%,-1.59%,8.88%,7.00%,4.79%,5.61%,5.57%,-6.88%,-4.59%,-3.50%,4.03%,5.76%,5.41%,93,135,103,101,80,113,253,228,239,255,-25.48%,35.97%,31.36%,33.21%,125.9%,523.8%,192.0%,626.0%,-8.17%,-38.04%
2015/03/31,2015/02/28,-0.32%,-0.59%,0.32%,-0.00%,-0.06%,-1.90%,-2.42%,-0.73%,-0.47%,-0.77%,2.78%,3.92%,-0.14%,2.74%,-1.06%,1.56%,92,134,104,101,80,111,247,226,238,253,-25.29%,37.51%,35.02%,38.43%,123.5%,533.5%,199.6%,645.9%,-5.61%,-35.61%
2015/04/30,2015/03/31,3.27%,0.72%,0.78%,0.12%,-1.42%,4.01%,2.60%,0.69%,-0.29%,-1.13%,-3.93%,-6.83%,-1.40%,-4.64%,0.40%,-2.59%,95,135,104,101,79,116,254,228,237,250,-28.79%,30.45%,29.70%,28.97%,124.4%,517.2%,190.7%,611.3%,-9.33%,-40.01%
2015/05/31,2015/04/30,0.35%,1.08%,-0.99%,-0.55%,-0.07%,-1.05%,0.84%,1.04%,1.74%,1.97%,0.91%,4.25%,0.28%,4.60%,1.29%,3.33%,96,137,103,100,79,114,256,230,241,255,-29.09%,34.39%,30.88%,34.46%,127.3%,537.7%,196.6%,644.1%,-8.50%,-37.46%
2015/06/30,2015/05/31,-0.97%,-0.08%,0.19%,-0.73%,0.05%,-2.19%,-1.75%,-1.18%,-2.13%,-1.07%,0.98%,0.94%,-0.82%,0.11%,-1.63%,-0.17%,95,137,104,100,79,112,251,227,236,252,-28.36%,35.89%,32.16%,35.72%,123.6%,536.6%,201.0%,644.9%,-7.61%,-36.87%
2015/07/31,2015/06/30,0.09%,0.10%,1.99%,-1.31%,-0.01%,0.04%,2.29%,3.28%,-0.09%,2.34%,0.74%,6.31%,-0.38%,1.08%,1.67%,-0.81%,95,137,106,98,79,112,257,235,236,258,-28.44%,39.02%,33.15%,44.29%,127.3%,531.4%,193.5%,653.0%,-6.92%,-32.88%
2015/08/31,2015/07/31,-0.31%,-1.16%,-0.25%,0.49%,1.59%,-6.47%,-6.25%,-5.86%,-5.64%,-6.21%,0.70%,-2.87%,-0.04%,-7.04%,-5.98%,-6.18%,94,135,105,99,80,105,241,221,222,242,-27.08%,39.39%,34.08%,40.15%,113.7%,492.4%,192.9%,600.0%,-6.27%,-34.81%
2015/09/30,2015/08/31,0.01%,0.16%,-0.78%,0.73%,-0.30%,-5.38%,-2.37%,-3.03%,-2.24%,-3.48%,-0.22%,2.30%,-2.10%,-5.59%,-2.82%,-6.28%,94,135,105,100,80,99,235,214,218,234,-27.30%,42.03%,33.78%,43.37%,107.7%,455.2%,182.8%,560.8%,-6.48%,-33.31%
2015/10/31,2015/09/30,-1.09%,-1.10%,0.20%,1.08%,0.75%,8.33%,6.60%,7.49%,8.56%,7.67%,1.39%,-1.99%,-0.36%,3.30%,7.68%,3.90%,93,134,105,101,81,107,251,230,236,252,-25.97%,41.08%,35.64%,40.52%,123.6%,476.9%,172.1%,582.6%,-5.18%,-34.64%
2015/11/30,2015/10/31,-3.82%,-0.12%,-0.34%,0.50%,0.75%,-2.29%,-0.05%,-0.02%,1.12%,1.74%,1.79%,1.36%,-0.57%,3.40%,0.55%,3.00%,90,134,104,101,81,105,251,230,239,256,-22.59%,46.77%,38.06%,42.43%,124.8%,494.1%,178.7%,605.9%,-3.49%,-33.75%
2015/12/31,2015/11/30,-1.61%,-0.17%,-0.58%,0.24%,0.09%,-4.21%,-2.71%,-2.76%,-1.52%,-1.10%,0.64%,1.39%,-0.37%,-4.19%,-2.07%,-4.60%,88,134,104,101,81,100,244,224,235,253,-21.28%,51.33%,38.95%,44.42%,120.2%,466.8%,171.7%,576.3%,-2.86%,-32.82%
2016/01/31,2015/12/31,-4.32%,-0.22%,0.49%,-0.26%,0.69%,-12.12%,-5.67%,-4.59%,-6.20%,-4.86%,1.93%,2.98%,-1.23%,-8.33%,-5.64%,-9.23%,85,133,104,101,82,88,230,214,221,241,-17.34%,62.31%,41.63%,48.72%,107.8%,414.5%,161.9%,520.0%,-0.99%,-30.82%
2016/02/29,2016/01/31,1.33%,0.64%,0.83%,0.49%,-0.98%,2.72%,0.78%,0.60%,-0.08%,-1.41%,0.19%,-1.38%,-1.05%,-1.41%,-0.05%,-0.99%,86,134,105,102,81,91,232,215,220,238,-19.25%,55.61%,41.89%,46.67%,107.6%,409.4%,159.5%,511.2%,-0.81%,-31.78%
2016/03/31,2016/02/29,-0.83%,0.21%,1.16%,0.89%,0.33%,8.70%,7.97%,7.46%,6.39%,6.49%,-2.88%,-4.76%,-1.70%,5.12%,7.08%,6.54%,85,134,106,103,81,99,250,231,234,253,-18.31%,52.17%,37.80%,39.69%,122.4%,442.7%,158.1%,542.5%,-3.67%,-35.02%
2016/04/30,2016/03/31,3.98%,-0.73%,0.42%,0.07%,0.01%,6.30%,0.45%,0.99%,0.31%,0.41%,-3.61%,-4.84%,-1.22%,0.42%,0.81%,1.87%,88,133,107,103,82,105,251,233,235,254,-21.56%,43.21%,32.83%,32.94%,124.2%,452.9%,160.8%,545.2%,-7.14%,-38.16%
2016/05/31,2016/04/30,0.11%,0.73%,-1.89%,0.12%,0.50%,1.77%,2.68%,0.09%,2.09%,2.15%,2.27%,2.42%,0.36%,1.74%,1.79%,1.01%,89,134,105,103,82,107,258,234,240,260,-21.25%,43.75%,35.84%,36.16%,128.2%,458.5%,158.8%,556.4%,-5.04%,-36.66%
2016/06/30,2016/05/31,-1.01%,-3.62%,0.06%,0.91%,2.70%,-1.19%,-3.33%,0.42%,0.87%,2.58%,2.11%,-0.33%,1.77%,-0.07%,0.26%,0.03%,88,130,105,104,84,105,250,235,242,266,-18.33%,49.17%,38.71%,35.71%,128.8%,458.6%,158.2%,556.0%,-3.03%,-36.87%
2016/07/31,2016/06/30,0.88%,0.05%,1.04%,-0.37%,-0.11%,6.33%,4.39%,4.28%,3.12%,3.73%,-2.44%,-3.12%,-2.60%,4.19%,3.96%,5.13%,88,130,106,103,84,112,261,245,250,276,-19.14%,45.28%,35.33%,31.47%,137.9%,487.2%,161.2%,583.4%,-5.40%,-38.84%
2016/08/31,2016/07/31,4.44%,1.04%,0.33%,-0.36%,-2.95%,5.05%,0.92%,0.38%,0.07%,-2.16%,-3.57%,-1.21%,-2.97%,1.90%,0.32%,2.27%,92,131,106,103,82,118,263,246,250,270,-25.12%,34.82%,30.49%,29.88%,138.6%,500.5%,166.2%,596.5%,-8.78%,-39.58%
2016/09/30,2016/08/31,-1.40%,-1.13%,0.48%,-0.18%,0.60%,-0.69%,-1.28%,0.44%,0.39%,1.56%,-0.78%,-0.82%,-0.95%,2.39%,0.19%,2.63%,91,129,107,103,82,117,260,247,251,275,-23.62%,37.86%,29.48%,28.82%,139.1%,516.4%,172.7%,613.1%,-9.48%,-40.08%
2016/10/31,2016/09/30,-0.81%,1.56%,0.74%,-0.49%,-2.11%,-3.01%,-0.72%,-0.90%,-2.09%,-6.12%,-0.69%,0.88%,-2.64%,-7.49%,-2.12%,-7.76%,90,131,108,102,80,113,258,244,246,258,-24.61%,33.58%,28.59%,29.95%,134.0%,468.6%,157.4%,559.7%,-10.11%,-39.55%
2016/11/30,2016/10/31,-1.19%,-0.00%,-0.08%,1.36%,0.46%,6.58%,5.85%,3.90%,4.02%,4.81%,0.64%,2.29%,-2.29%,10.75%,4.59%,10.06%,89,131,108,104,81,121,273,254,256,270,-23.36%,31.20%,29.41%,32.93%,144.7%,525.7%,171.5%,630.5%,-9.54%,-38.17%
2016/12/31,2016/11/30,-0.32%,-0.07%,1.01%,0.28%,-1.28%,2.12%,2.04%,2.78%,1.88%,0.54%,-1.15%,-1.11%,-1.72%,0.09%,1.94%,0.42%,89,131,109,104,80,123,278,261,260,272,-24.09%,29.13%,27.91%,31.45%,149.5%,528.4%,167.3%,631.2%,-10.58%,-38.85%
2017/01/31,2016/12/31,0.75%,-0.37%,-0.12%,-0.33%,0.41%,3.98%,1.31%,2.14%,1.40%,2.16%,1.32%,-2.21%,2.18%,1.02%,1.89%,1.68%,90,131,108,104,80,128,282,267,264,277,-24.35%,26.78%,29.60%,28.54%,154.2%,538.9%,166.8%,638.6%,-9.40%,-40.21%
2017/02/28,2017/01/31,-0.81%,0.01%,-0.08%,0.38%,-0.32%,3.28%,3.19%,3.44%,4.43%,3.38%,2.79%,0.51%,2.02%,2.29%,3.64%,2.13%,89,131,108,104,80,133,291,276,276,287,-23.97%,26.91%,33.21%,29.20%,163.5%,552.6%,162.8%,655.5%,-6.88%,-39.90%
2017/03/31,2017/02/28,-1.87%,-0.54%,-0.36%,0.75%,0.38%,-0.23%,-0.08%,-0.27%,1.11%,-0.73%,4.54%,0.38%,2.39%,0.68%,0.13%,0.57%,87,130,108,105,80,132,291,275,279,285,-22.26%,26.27%,39.26%,29.69%,163.8%,556.3%,163.9%,660.7%,-2.64%,-39.67%
2017/04/30,2017/03/31,-2.08%,-0.64%,0.10%,0.77%,-0.87%,0.28%,0.40%,1.28%,1.87%,0.25%,3.47%,2.19%,-0.41%,0.68%,1.11%,0.02%,85,129,108,106,79,133,292,278,284,285,-21.32%,26.24%,44.10%,32.53%,166.7%,556.4%,161.0%,665.8%,0.00%,-38.35%
2017/05/31,2017/04/30,-1.92%,-0.79%,-0.17%,-0.39%,1.80%,0.24%,0.61%,1.02%,1.45%,1.08%,5.25%,3.28%,1.73%,-0.51%,1.06%,-1.50%,84,128,108,105,81,133,294,281,288,288,-18.39%,27.30%,51.66%,36.88%,169.6%,546.6%,154.4%,661.9%,0.00%,-36.33%
2017/06/30,2017/05/31,0.67%,0.69%,0.28%,0.01%,-0.59%,2.08%,1.61%,0.94%,0.63%,0.29%,-1.08%,-3.03%,0.30%,2.56%,0.90%,3.47%,84,129,108,105,80,136,298,284,290,289,-19.43%,25.02%,50.02%,32.73%,172.0%,569.1%,160.9%,681.5%,-1.08%,-38.26%
2017/07/31,2017/06/30,-2.44%,-0.40%,-0.37%,0.02%,1.00%,-1.13%,1.63%,1.87%,1.91%,3.04%,2.03%,2.45%,0.85%,1.52%,1.93%,0.78%,82,129,108,105,81,134,303,289,295,298,-16.65%,30.23%,53.06%,35.99%,177.2%,574.3%,157.9%,693.3%,0.00%,-36.74%
2017/08/31,2017/07/31,-2.33%,-1.11%,-0.66%,0.47%,0.67%,-3.01%,-1.48%,-0.19%,0.75%,1.76%,3.17%,4.60%,2.71%,2.19%,0.26%,0.81%,80,127,107,106,82,130,299,289,298,303,-14.15%,36.44%,57.91%,42.24%,177.9%,579.8%,159.3%,710.7%,0.00%,-33.84%
2017/09/30,2017/08/31,-1.29%,0.77%,-0.43%,-0.39%,0.72%,2.72%,5.05%,1.97%,1.66%,2.69%,-0.81%,-5.22%,1.13%,4.64%,2.47%,6.20%,79,128,107,105,82,134,314,294,303,312,-12.43%,36.41%,56.64%,34.81%,184.8%,621.9%,169.0%,748.3%,-0.81%,-37.29%
2017/10/31,2017/09/30,-5.44%,-1.77%,-2.24%,0.52%,3.04%,-3.33%,0.62%,0.67%,3.15%,4.78%,2.74%,3.35%,1.88%,2.02%,2.24%,1.02%,75,126,104,106,85,129,316,296,312,326,-5.00%,47.49%,60.92%,39.33%,191.2%,629.3%,165.7%,765.4%,0.00%,-35.19%
2017/11/30,2017/10/31,-0.28%,1.01%,-0.62%,-0.21%,0.47%,2.94%,3.93%,3.00%,2.86%,3.85%,-0.34%,-1.16%,0.27%,2.53%,3.22%,2.87%,75,127,104,106,85,133,328,305,321,339,-4.29%,48.84%,60.38%,37.71%,200.6%,650.2%,164.8%,787.3%,-0.34%,-35.94%
2017/12/31,2017/11/30,0.50%,0.42%,-0.06%,-0.25%,-0.30%,1.51%,1.53%,1.09%,0.99%,0.87%,1.99%,1.14%,2.88%,3.02%,1.10%,2.68%,75,128,104,105,85,135,333,309,324,342,-5.05%,47.90%,63.57%,39.28%,203.8%,670.4%,169.0%,814.1%,0.00%,-35.21%
2018/01/31,2017/12/31,-2.29%,-0.49%,-2.06%,-0.46%,2.51%,1.64%,5.03%,3.60%,6.27%,7.64%,0.12%,0.84%,0.82%,3.97%,5.34%,3.71%,73,127,101,105,87,137,350,320,345,368,-0.50%,56.76%,63.76%,40.45%,220.1%,699.0%,164.7%,850.4%,0.00%,-34.67%
2018/02/28,2018/01/31,-3.07%,-2.04%,-1.79%,1.30%,1.36%,-6.88%,-5.64%,-4.95%,-2.30%,-2.71%,0.65%,2.19%,-0.14%,-3.19%,-3.65%,-3.85%,71,125,100,106,88,128,330,304,337,358,3.92%,63.30%,64.84%,43.53%,208.4%,668.2%,164.1%,820.1%,0.00%,-33.24%
2018/03/31,2018/02/28,0.48%,0.07%,0.00%,0.37%,0.94%,-0.95%,-1.68%,-1.58%,-2.49%,-1.93%,0.98%,-0.32%,-0.30%,0.36%,-1.98%,0.46%,72,125,100,107,89,127,325,299,328,351,4.39%,61.70%,66.46%,43.06%,202.3%,671.8%,170.6%,823.4%,0.00%,-33.45%
2018/04/30,2018/03/31,1.63%,-0.49%,-0.24%,-0.33%,0.73%,2.17%,-0.15%,-0.06%,0.19%,1.38%,0.31%,0.74%,-0.42%,1.33%,0.43%,1.10%,73,124,99,106,90,129,324,299,329,356,3.45%,60.42%,66.98%,44.12%,203.6%,680.3%,172.4%,835.6%,0.00%,-32.96%
2018/05/31,2018/04/30,0.38%,-0.45%,-1.20%,0.17%,0.26%,3.14%,2.17%,0.79%,2.95%,5.38%,1.46%,2.68%,-0.10%,8.52%,2.78%,7.72%,73,123,98,106,90,133,331,301,339,375,3.33%,64.01%,69.42%,47.99%,212.0%,740.5%,185.8%,915.4%,0.00%,-31.16%
2018/06/30,2018/05/31,1.05%,0.96%,1.19%,-1.12%,-0.11%,2.74%,1.56%,1.82%,-0.67%,0.87%,1.56%,0.49%,-0.93%,0.81%,0.75%,0.67%,74,125,99,105,90,137,336,307,336,378,2.13%,60.95%,72.06%,48.71%,214.4%,746.1%,185.6%,923.6%,0.00%,-30.83%
2018/07/31,2018/06/30,0.28%,0.81%,0.80%,0.01%,-1.77%,3.31%,4.18%,3.73%,3.66%,1.66%,2.47%,2.42%,-0.75%,0.94%,3.27%,0.22%,74,126,100,105,88,142,351,318,349,385,0.04%,58.29%,76.31%,52.30%,224.7%,747.9%,176.9%,933.3%,0.00%,-29.16%
2018/08/31,2018/07/31,-1.73%,-0.20%,-0.71%,-0.25%,0.95%,0.06%,1.44%,1.60%,4.31%,7.56%,1.50%,6.04%,1.27%,9.36%,3.55%,7.55%,73,125,99,105,89,142,356,323,364,414,2.73%,70.16%,78.95%,61.51%,236.2%,811.9%,187.9%,1030%,0.00%,-24.87%
2018/09/30,2018/08/31,-0.21%,-0.23%,0.06%,-0.42%,0.23%,-0.54%,-0.44%,-0.14%,-0.16%,1.05%,0.77%,0.49%,0.08%,-1.67%,0.10%,-1.82%,73,125,100,105,89,141,354,323,363,418,3.18%,72.87%,80.34%,62.29%,236.6%,795.4%,182.4%,1011%,0.00%,-24.51%
2018/10/31,2018/09/30,0.45%,-1.35%,0.19%,1.39%,2.27%,-8.35%,-8.20%,-6.00%,-5.72%,-8.86%,3.58%,0.79%,3.66%,-10.90%,-7.27%,-11.14%,73,123,100,106,91,129,325,303,342,381,5.05%,72.00%,86.80%,63.58%,212.1%,695.7%,171.5%,890.0%,0.00%,-23.91%
2018/11/30,2018/10/31,-1.24%,-0.07%,1.22%,0.90%,-1.50%,0.83%,1.84%,3.09%,2.79%,0.30%,3.39%,3.07%,-0.29%,1.10%,1.99%,0.18%,72,123,101,107,90,130,331,313,352,382,4.78%,71.09%,93.14%,68.59%,218.3%,697.1%,166.5%,900.9%,0.00%,-21.58%
2018/12/31,2018/11/30,-2.75%,-0.84%,1.22%,0.35%,-0.78%,-11.86%,-10.62%,-8.42%,-9.22%,-8.84%,5.16%,6.82%,0.04%,-9.85%,-9.28%,-11.89%,70,122,102,107,89,115,296,287,319,348,6.85%,76.26%,103.1%,80.10%,188.8%,602.3%,159.6%,802.4%,0.00%,-16.23%
2019/01/31,2018/12/31,7.31%,2.26%,0.66%,-0.33%,-3.34%,16.40%,11.12%,8.89%,7.94%,6.59%,-8.82%,-9.63%,-4.28%,9.34%,8.72%,12.23%,75,125,103,107,86,134,329,312,345,371,-4.53%,58.98%,85.19%,62.75%,214.0%,688.2%,168.7%,886.7%,-8.82%,-24.29%
2019/02/28,2019/01/31,-5.00%,0.25%,-0.21%,-0.71%,0.97%,0.28%,4.04%,3.34%,2.99%,4.34%,-1.38%,-1.94%,-1.57%,3.71%,3.43%,4.29%,71,125,103,106,87,134,342,322,355,388,1.16%,65.44%,82.62%,59.60%,224.7%,722.0%,171.0%,923.3%,-10.08%,-25.76%
2019/03/31,2019/02/28,0.80%,0.24%,0.03%,-0.25%,-0.68%,1.50%,2.35%,1.11%,1.58%,0.57%,-0.03%,-0.08%,-0.21%,-0.47%,1.41%,-0.45%,72,126,103,106,86,136,350,326,361,390,-0.33%,63.90%,82.57%,59.47%,229.3%,718.4%,166.0%,918.5%,-10.11%,-25.82%
2019/04/30,2019/03/31,3.13%,0.45%,2.88%,-1.16%,-2.54%,5.76%,5.33%,7.16%,3.01%,1.14%,-0.42%,0.05%,-2.92%,1.21%,4.02%,1.19%,74,126,106,105,84,144,369,349,372,394,-5.99%,56.34%,81.80%,59.56%,242.5%,728.1%,158.5%,930.8%,-10.49%,-25.78%
2019/05/31,2019/04/30,-8.11%,-0.39%,0.97%,1.02%,1.66%,-12.25%,-8.58%,-6.78%,-5.44%,-4.69%,6.76%,5.09%,7.10%,-4.85%,-6.47%,-6.37%,68,126,107,106,86,126,337,326,351,376,3.20%,68.16%,94.08%,67.67%,220.4%,675.4%,158.7%,880.8%,-4.44%,-22.01%
2019/06/30,2019/05/31,2.32%,-2.11%,0.43%,0.09%,-0.95%,10.39%,4.72%,6.65%,6.68%,7.65%,2.55%,3.14%,-2.64%,7.41%,6.83%,6.47%,70,123,107,106,85,139,353,347,375,405,-0.18%,63.56%,99.03%,72.93%,242.2%,725.5%,157.8%,953.5%,-2.00%,-19.56%
2019/07/31,2019/06/30,0.96%,1.15%,-0.72%,0.63%,-0.57%,1.48%,2.75%,0.85%,1.56%,0.94%,2.61%,2.51%,1.65%,0.36%,1.45%,-0.39%,70,125,106,107,84,141,363,350,381,408,-1.71%,62.67%,104.2%,77.28%,247.2%,722.3%,153.1%,957.3%,0.00%,-17.54%
2019/08/31,2019/07/31,-4.42%,-0.72%,-0.59%,0.45%,1.75%,-6.95%,-3.58%,-3.05%,-0.96%,-0.19%,2.70%,3.27%,2.23%,-3.10%,-2.11%,-4.08%,67,124,106,107,86,132,350,340,377,408,4.36%,73.67%,109.7%,83.08%,239.9%,688.8%,148.1%,924.6%,0.00%,-14.84%
2019/09/30,2019/08/31,1.69%,0.37%,0.37%,1.89%,-0.52%,5.06%,2.73%,3.67%,1.80%,-1.14%,-1.28%,-6.83%,-0.93%,-4.45%,1.76%,-2.41%,68,124,106,109,85,138,359,352,384,403,2.05%,62.90%,107.0%,70.58%,245.8%,669.8%,137.8%,879.0%,-1.28%,-20.65%
2019/10/31,2019/09/30,-1.62%,1.87%,0.60%,-0.13%,-1.18%,0.59%,3.77%,2.43%,2.42%,1.25%,3.01%,3.00%,-0.93%,2.39%,2.20%,1.49%,67,126,107,109,84,139,373,361,393,408,2.50%,63.98%,113.3%,75.70%,253.4%,681.2%,136.1%,902.3%,0.00%,-18.27%
2019/11/30,2019/10/31,0.77%,0.90%,-0.89%,-0.30%,-0.50%,5.66%,5.65%,3.26%,3.75%,2.87%,5.63%,1.38%,2.09%,4.92%,3.75%,4.51%,68,128,106,109,84,147,394,372,408,420,1.20%,59.41%,125.3%,78.12%,266.7%,716.4%,137.8%,951.6%,0.00%,-17.15%
2019/12/31,2019/11/30,-0.13%,-1.53%,-0.38%,0.07%,1.38%,4.44%,1.93%,2.91%,2.42%,3.66%,-3.17%,-4.73%,-0.35%,3.30%,2.79%,4.72%,68,126,105,109,85,153,401,383,418,435,2.74%,58.16%,118.2%,69.69%,276.9%,755.0%,142.4%,986.4%,-3.17%,-21.07%
2020/01/31,2019/12/31,0.66%,-0.43%,-0.13%,-0.08%,-1.28%,2.33%,-0.50%,0.47%,0.06%,-0.56%,-2.29%,-3.32%,0.56%,-3.25%,0.06%,-2.26%,68,125,105,109,84,157,399,385,418,433,0.75%,53.59%,113.1%,64.06%,277.2%,735.7%,136.8%,951.1%,-5.39%,-23.69%
2020/02/29,2020/01/31,-1.69%,0.95%,-0.86%,-2.27%,1.77%,-10.27%,-7.08%,-7.73%,-9.53%,-6.80%,2.00%,-1.79%,1.84%,-7.30%,-8.00%,-6.76%,67,126,104,106,86,141,371,355,378,403,4.24%,58.91%,117.4%,61.13%,247.0%,679.2%,139.8%,874.4%,-3.49%,-25.05%
2020/03/31,2020/02/29,-6.79%,-0.54%,-0.29%,-1.94%,-1.49%,-22.66%,-17.46%,-12.43%,-13.57%,-10.99%,-3.55%,-2.13%,-7.71%,-24.16%,-13.57%,-23.52%,62,126,104,104,84,109,306,311,327,359,9.76%,77.46%,109.7%,57.69%,199.9%,495.9%,115.9%,639.0%,-6.92%,-26.65%
2020/04/30,2020/03/31,0.69%,1.00%,0.01%,0.89%,-1.03%,12.02%,12.22%,11.98%,14.38%,14.14%,-4.18%,-2.43%,1.31%,21.12%,13.44%,21.85%,63,127,104,105,83,122,344,348,374,410,7.87%,81.23%,100.9%,53.85%,240.2%,626.1%,134.1%,795.0%,-10.81%,-28.43%
