Date,fdate,chs_AR_1,chs_AR_2,chs_AR_3,chs_AR_4,chs_AR_5,chs_TR_1,chs_TR_2,chs_TR_3,chs_TR_4,chs_TR_5,chs_AR_Sig,chs_TR_Sig,chs_AR_130,chs_TR_130,chs_TR_BP,chs_TR_LO,chs_CAR_1,chs_CAR_2,chs_CAR_3,chs_CAR_4,chs_CAR_5,chs_CTR_1,chs_CTR_2,chs_CTR_3,chs_CTR_4,chs_CTR_5,chs_CAR_LS,chs_CTR_LS,chs_CAR_SW,chs_CTR_SW,chs_CTR_BP,chs_CTR_LO,chs_CXR_LO,chs_CTR_13,chs_CADD,chs_CTDD
2019/12/31,2019/11/30,-0.39%,-0.13%,-0.95%,0.77%,-0.06%,2.18%,2.85%,2.08%,3.69%,2.38%,-2.68%,-4.28%,-0.64%,2.99%,2.79%,4.27%,55,82,104,123,110,120,268,339,402,491,71.25%,104.7%,776.3%,131.0%,276.9%,842.1%,158.9%,1314%,-2.68%,-4.28%
2020/01/31,2019/12/31,0.70%,2.22%,0.43%,-0.68%,-1.39%,1.60%,1.65%,-0.97%,0.28%,-0.48%,-5.77%,-7.01%,-1.93%,-4.98%,0.06%,-2.88%,56,84,105,122,108,122,272,335,403,488,67.67%,100.4%,725.7%,114.8%,277.2%,815.0%,151.3%,1243%,-8.30%,-10.99%
2020/02/29,2020/01/31,-3.39%,-1.37%,-1.33%,0.34%,0.42%,-7.66%,-9.02%,-8.66%,-8.31%,-7.19%,2.29%,-3.90%,1.24%,-8.31%,-8.00%,-7.14%,54,83,103,123,109,113,248,306,370,453,74.06%,101.3%,744.6%,106.4%,247.0%,749.7%,153.5%,1132%,-6.20%,-14.46%
2020/03/31,2020/02/29,-6.56%,-5.44%,-3.06%,0.45%,-0.75%,-15.72%,-20.61%,-17.57%,-11.17%,-11.51%,4.67%,3.30%,-0.39%,-17.69%,-13.57%,-18.68%,50,78,100,123,108,95,197,252,328,401,84.18%,109.8%,784.0%,113.3%,199.9%,591.0%,140.5%,914.0%,-1.82%,-11.63%
2020/04/30,2020/03/31,-1.69%,0.72%,-0.57%,-0.39%,1.50%,13.41%,13.94%,12.18%,11.95%,15.53%,-5.52%,-8.89%,-0.63%,14.80%,13.44%,17.47%,49,79,99,123,109,108,224,283,368,463,90.05%,114.2%,735.3%,94.31%,240.2%,711.7%,150.2%,1064%,-7.24%,-19.49%
2020/05/31,2020/04/30,-0.02%,1.71%,0.33%,1.25%,-3.03%,5.87%,5.99%,5.21%,6.41%,4.61%,-2.55%,-2.57%,-2.75%,6.51%,5.40%,7.28%,49,80,100,125,106,114,238,298,391,485,84.33%,111.5%,713.9%,89.32%,258.6%,770.8%,154.9%,1140%,-9.60%,-21.56%
2020/06/30,2020/05/31,-0.67%,0.44%,-0.78%,0.66%,-0.59%,2.58%,2.30%,0.86%,2.95%,2.67%,-10.11%,-10.97%,-4.91%,1.29%,2.43%,4.58%,49,80,99,125,105,117,243,301,403,497,84.47%,111.7%,631.7%,68.55%,267.3%,810.7%,160.4%,1156%,-18.74%,-30.16%
2020/07/31,2020/06/30,-1.71%,-0.88%,-1.50%,-0.15%,-1.10%,4.62%,4.52%,3.27%,6.48%,6.34%,-6.39%,-3.23%,-2.72%,3.24%,5.73%,4.21%,48,80,98,125,104,122,254,310,429,529,85.60%,115.4%,584.9%,63.09%,288.3%,849.0%,156.5%,1197%,-23.93%,-32.42%
2020/08/31,2020/07/31,0.22%,0.34%,-0.91%,1.31%,-2.81%,8.64%,6.28%,5.21%,8.85%,7.01%,1.53%,2.20%,-4.95%,4.77%,7.38%,4.11%,48,80,97,127,101,133,270,327,467,566,79.98%,111.9%,595.4%,66.69%,317.0%,888.0%,148.1%,1258%,-22.76%,-30.94%
2020/09/30,2020/08/31,1.49%,-2.50%,2.30%,-0.74%,-0.27%,-1.63%,-6.01%,-0.97%,-4.03%,-3.33%,0.46%,1.02%,1.04%,-2.40%,-3.61%,-2.71%,49,78,99,126,101,131,254,323,448,547,76.81%,108.2%,598.6%,68.38%,301.9%,861.3%,150.3%,1226%,-22.41%,-30.23%
2020/10/31,2020/09/30,-2.75%,1.91%,0.69%,0.12%,0.31%,-3.43%,1.16%,-2.77%,-2.51%,-1.93%,2.88%,1.63%,-0.78%,1.05%,-2.11%,0.56%,48,80,100,126,101,126,257,314,437,537,82.22%,111.4%,618.7%,71.13%,293.4%,866.7%,157.0%,1240%,-20.18%,-29.09%
2020/11/30,2020/10/31,3.49%,0.72%,-0.21%,2.11%,-2.84%,16.71%,13.54%,12.36%,13.18%,9.59%,-10.32%,-16.54%,-6.66%,10.00%,12.26%,14.96%,49,80,99,129,99,148,292,353,494,588,70.69%,96.33%,544.5%,42.83%,341.6%,1011%,164.0%,1374%,-28.42%,-40.82%
2020/12/31,2020/11/30,0.06%,-0.38%,-0.98%,0.44%,-2.37%,6.98%,5.34%,4.43%,4.45%,3.01%,-1.03%,-4.46%,-2.26%,6.29%,4.57%,7.63%,49,80,98,129,96,158,307,369,516,606,66.54%,88.55%,537.9%,36.47%,361.8%,1096%,172.1%,1466%,-29.16%,-43.46%
2021/01/31,2020/12/31,-1.68%,1.98%,-1.24%,-0.23%,-2.06%,0.72%,0.44%,0.42%,-0.72%,-0.51%,-19.27%,-22.10%,-6.86%,0.85%,-0.12%,7.48%,49,81,97,129,94,159,308,371,513,603,65.90%,86.23%,415.0%,6.31%,361.3%,1186%,192.7%,1480%,-42.81%,-55.95%
