Date,fdate,chs_AR_1,chs_AR_2,chs_AR_3,chs_AR_4,chs_AR_5,chs_TR_1,chs_TR_2,chs_TR_3,chs_TR_4,chs_TR_5,chs_AR_Sig,chs_TR_Sig,chs_AR_130,chs_TR_130,chs_TR_BP,chs_TR_LO,chs_CAR_1,chs_CAR_2,chs_CAR_3,chs_CAR_4,chs_CAR_5,chs_CTR_1,chs_CTR_2,chs_CTR_3,chs_CTR_4,chs_CTR_5,chs_CAR_LS,chs_CTR_LS,chs_CAR_SW,chs_CTR_SW,chs_CTR_BP,chs_CTR_LO,chs_CXR_LO,chs_CTR_13,chs_CADD,chs_CTDD
2005/11/30,2005/10/31,-0.61%,1.06%,0.11%,0.52%,-0.54%,3.54%,4.62%,3.30%,4.05%,3.84%,2.43%,2.71%,0.22%,5.31%,3.93%,4.50%,77,103,109,111,109,49,103,117,118,108,35.06%,78.68%,-27.80%,-8.17%,6.69%,118.1%,106.5%,126.0%,-27.80%,-42.41%
2005/12/31,2005/11/30,0.46%,0.20%,-0.05%,-0.44%,0.72%,0.24%,0.27%,-0.01%,-0.36%,0.53%,0.05%,-0.92%,1.19%,0.24%,0.04%,0.52%,77,103,108,111,110,49,103,117,118,109,35.42%,79.19%,-27.76%,-9.01%,6.73%,119.2%,107.5%,126.6%,-27.76%,-42.94%
2006/01/31,2005/12/31,-1.38%,-0.29%,0.38%,0.93%,-2.04%,4.34%,3.72%,3.58%,3.82%,2.55%,-2.23%,-2.80%,-2.99%,6.76%,3.44%,7.60%,76,103,109,112,108,51,107,121,122,112,34.53%,75.99%,-29.37%,-11.56%,10.40%,135.9%,116.2%,141.9%,-29.37%,-44.54%
2006/02/28,2006/01/31,-0.90%,0.08%,0.30%,-0.40%,0.53%,-0.85%,0.17%,0.28%,-0.25%,0.67%,-0.54%,-0.89%,0.19%,0.09%,0.09%,0.35%,75,103,109,112,108,51,107,121,122,112,36.45%,78.67%,-29.75%,-12.35%,10.50%,136.7%,116.7%,142.1%,-29.75%,-45.04%
2006/03/31,2006/02/28,-0.57%,0.63%,-0.04%,0.21%,-1.52%,2.10%,2.29%,1.60%,2.57%,0.98%,-0.04%,-0.79%,-1.58%,4.28%,1.90%,4.52%,75,104,109,112,107,52,109,123,125,113,35.15%,76.65%,-29.78%,-13.04%,12.59%,147.4%,122.4%,152.4%,-29.78%,-45.47%
2006/04/30,2006/03/31,2.17%,-1.00%,0.46%,-0.16%,-0.29%,1.47%,1.14%,1.34%,0.80%,0.74%,2.31%,0.63%,1.88%,1.04%,0.99%,0.85%,77,103,110,112,106,52,111,125,126,114,31.82%,75.36%,-28.16%,-12.49%,13.71%,149.5%,122.1%,155.1%,-28.16%,-45.12%
2006/05/31,2006/04/30,0.93%,-0.88%,-0.12%,0.02%,-0.04%,-4.03%,-2.73%,-3.02%,-3.12%,-3.27%,4.27%,2.50%,1.45%,-4.71%,-3.11%,-5.46%,77,102,110,112,106,50,108,121,122,111,30.54%,76.70%,-25.09%,-10.31%,10.17%,135.9%,116.9%,143.1%,-25.09%,-43.75%
2006/06/30,2006/05/31,-0.19%,-0.48%,0.71%,-0.60%,0.84%,-0.24%,-0.35%,0.58%,-0.34%,0.85%,2.52%,2.43%,0.73%,0.56%,0.19%,-0.17%,77,101,110,111,107,50,107,122,122,111,31.88%,78.64%,-23.21%,-8.12%,10.39%,135.5%,116.1%,144.4%,-23.21%,-42.39%
2006/07/31,2006/06/30,-2.80%,-0.36%,-0.02%,-0.01%,1.12%,-4.82%,-0.93%,-0.84%,-0.35%,1.31%,1.82%,2.94%,0.48%,-2.15%,-0.28%,-3.04%,75,101,110,111,108,48,106,121,121,113,37.05%,89.58%,-21.81%,-5.42%,10.08%,128.3%,110.1%,139.1%,-21.81%,-40.69%
2006/08/31,2006/07/31,0.84%,0.66%,-0.58%,-0.49%,0.76%,3.89%,2.66%,1.54%,2.04%,3.20%,1.28%,1.05%,-0.37%,3.24%,2.48%,2.92%,76,101,110,110,109,50,109,123,124,117,36.95%,88.28%,-20.81%,-4.43%,12.81%,135.0%,111.1%,146.9%,-20.81%,-40.07%
