Date,fdate,ltr60_AR_1,ltr60_AR_2,ltr60_AR_3,ltr60_AR_4,ltr60_AR_5,ltr60_TR_1,ltr60_TR_2,ltr60_TR_3,ltr60_TR_4,ltr60_TR_5,ltr60_AR_Sig,ltr60_TR_Sig,ltr60_AR_130,ltr60_TR_130,ltr60_TR_BP,ltr60_TR_LO,ltr60_CAR_1,ltr60_CAR_2,ltr60_CAR_3,ltr60_CAR_4,ltr60_CAR_5,ltr60_CTR_1,ltr60_CTR_2,ltr60_CTR_3,ltr60_CTR_4,ltr60_CTR_5,ltr60_CAR_LS,ltr60_CTR_LS,ltr60_CAR_SW,ltr60_CTR_SW,ltr60_CTR_BP,ltr60_CTR_LO,ltr60_CXR_LO,ltr60_CTR_13,ltr60_CADD,ltr60_CTDD
2007/06/30,2007/05/31,-1.54%,-0.28%,-1.05%,0.06%,3.02%,-2.38%,-1.87%,-2.59%,-1.81%,0.93%,-0.44%,-0.60%,0.64%,-0.83%,-1.77%,-0.65%,108,106,82,123,152,127,176,115,151,172,38.34%,34.35%,66.83%,74.39%,32.35%,219.6%,149.8%,272.8%,-9.75%,-6.29%
2007/07/31,2007/06/30,0.40%,2.31%,-1.01%,0.33%,0.54%,-3.11%,-3.45%,-4.11%,-3.39%,-2.82%,0.32%,-1.10%,2.00%,-5.66%,-3.46%,-5.33%,109,108,82,123,153,123,170,110,146,167,38.54%,34.74%,67.37%,72.48%,27.77%,202.6%,145.1%,251.7%,-9.46%,-7.32%
2007/08/31,2007/07/31,-0.51%,0.19%,1.33%,0.37%,-1.46%,1.12%,0.92%,2.48%,1.95%,-0.23%,-2.42%,-3.00%,-4.57%,-3.84%,1.50%,-2.94%,108,109,83,124,151,125,172,113,149,167,37.22%,32.91%,63.32%,67.30%,29.69%,193.7%,134.2%,238.2%,-11.65%,-10.10%
2007/09/30,2007/08/31,0.83%,-0.08%,0.75%,-2.15%,1.31%,5.85%,2.85%,4.10%,2.32%,3.11%,-1.33%,-3.39%,-0.77%,-0.42%,3.55%,0.60%,109,109,83,121,153,132,176,117,153,172,37.88%,29.27%,61.15%,61.63%,34.30%,195.4%,127.3%,236.8%,-12.83%,-13.15%
2007/10/31,2007/09/30,0.17%,0.39%,-1.22%,-0.18%,-0.03%,4.73%,2.15%,0.55%,1.72%,0.84%,-0.94%,-2.84%,-1.39%,-0.07%,2.05%,0.78%,109,109,82,121,153,138,180,118,155,174,37.60%,24.24%,59.64%,57.05%,37.05%,197.7%,124.4%,236.6%,-13.64%,-15.61%
2007/11/30,2007/10/31,0.84%,0.11%,0.41%,-0.58%,0.72%,-4.68%,-4.76%,-3.65%,-4.78%,-4.94%,-1.44%,-2.22%,-2.55%,-10.71%,-4.49%,-10.04%,110,109,83,120,154,132,172,114,148,165,37.45%,23.91%,57.35%,53.56%,30.89%,167.8%,112.0%,200.5%,-14.88%,-17.48%
2007/12/31,2007/11/30,-1.29%,-1.66%,-0.57%,0.04%,0.62%,1.25%,-1.36%,-1.00%,-1.25%,-0.96%,0.15%,-2.48%,-0.92%,-2.68%,-0.68%,-1.94%,109,107,82,120,155,133,169,113,146,163,40.08%,21.17%,57.59%,49.75%,30.00%,162.6%,109.3%,192.4%,-14.75%,-19.53%
2008/01/31,2007/12/31,2.28%,0.51%,0.19%,0.59%,1.45%,-9.02%,-5.89%,-5.27%,-5.20%,-2.55%,1.35%,6.24%,2.17%,-1.21%,-5.98%,-3.08%,111,108,82,121,157,121,159,107,138,159,38.91%,29.01%,59.72%,59.09%,22.22%,154.6%,115.4%,188.9%,-13.60%,-14.51%
2008/02/29,2008/01/31,-0.21%,-2.09%,0.40%,-0.17%,5.06%,-1.16%,-3.91%,-3.16%,-4.06%,0.77%,3.16%,1.00%,3.44%,-1.10%,-3.00%,-1.40%,111,106,83,120,165,120,153,103,133,160,46.23%,31.50%,64.77%,60.68%,18.56%,151.0%,118.8%,185.7%,-10.87%,-13.66%
2008/03/31,2008/02/29,-2.26%,2.23%,0.07%,-0.10%,-1.09%,-0.84%,1.43%,-1.11%,-1.42%,-2.38%,1.09%,-0.03%,-2.28%,-2.47%,-0.63%,-2.46%,108,108,83,120,163,119,155,102,131,157,47.94%,29.47%,66.56%,60.64%,17.81%,144.8%,114.8%,178.7%,-9.90%,-13.68%
2008/04/30,2008/03/31,1.89%,-1.91%,-0.35%,0.71%,2.90%,6.00%,2.44%,4.39%,5.63%,7.22%,-0.59%,-0.73%,-0.41%,2.75%,4.79%,2.97%,110,106,82,121,168,126,159,107,138,168,49.43%,31.05%,65.57%,59.47%,23.46%,152.1%,110.9%,186.3%,-10.43%,-14.31%
2008/05/31,2008/04/30,0.14%,-0.19%,-0.72%,-0.69%,-1.21%,4.74%,1.62%,1.32%,0.61%,1.10%,1.54%,0.41%,1.02%,5.06%,1.98%,4.94%,111,106,82,120,166,132,162,108,139,170,47.42%,26.27%,68.12%,60.12%,25.90%,164.5%,117.1%,200.8%,-9.05%,-13.96%
2008/06/30,2008/05/31,-1.96%,-2.52%,-2.33%,1.95%,0.59%,-5.05%,-9.53%,-10.99%,-7.35%,-12.59%,1.74%,-3.20%,0.47%,-10.75%,-8.40%,-9.79%,108,103,80,123,167,125,146,96,129,148,51.18%,16.75%,71.06%,55.00%,15.32%,138.6%,114.1%,168.5%,-7.47%,-16.71%
2008/07/31,2008/06/30,-2.21%,1.35%,2.80%,2.45%,-4.78%,-3.92%,0.32%,1.66%,1.95%,-3.88%,-2.15%,1.02%,-5.02%,0.24%,-0.54%,-0.06%,106,104,82,126,159,120,147,98,131,143,47.30%,16.79%,67.39%,56.58%,14.70%,138.5%,115.1%,169.2%,-9.45%,-15.86%
2008/08/31,2008/07/31,-1.21%,-0.19%,0.07%,1.36%,-3.83%,0.09%,1.65%,2.54%,2.88%,0.23%,0.04%,1.91%,-2.67%,3.42%,1.65%,2.85%,105,104,82,127,153,121,149,100,135,143,43.43%,16.95%,67.45%,59.57%,16.60%,145.3%,117.7%,178.4%,-9.42%,-14.25%
2008/09/30,2008/08/31,-2.50%,1.93%,4.28%,-0.37%,-8.84%,-11.89%,-5.93%,-5.24%,-8.76%,-21.09%,-1.73%,-1.26%,-5.31%,-14.29%,-8.85%,-13.91%,102,106,86,127,139,106,140,95,123,113,34.35%,6.19%,64.56%,57.56%,6.28%,111.2%,106.7%,138.6%,-10.98%,-15.33%
2008/10/31,2008/09/30,-0.11%,-1.89%,-1.46%,-0.70%,-1.30%,-16.02%,-17.92%,-16.77%,-19.22%,-24.79%,-1.40%,-3.34%,-3.12%,-24.95%,-17.40%,-23.95%,102,104,84,126,137,89,115,79,100,85,32.75%,-3.12%,62.26%,52.30%,-12.22%,60.59%,93.17%,79.07%,-12.23%,-18.16%
2008/11/30,2008/10/31,0.33%,0.31%,0.78%,-1.82%,-5.77%,-6.37%,-7.08%,-7.89%,-12.22%,-15.72%,-6.01%,-7.84%,-8.72%,-21.21%,-7.97%,-18.86%,102,104,85,124,129,84,107,73,87,72,24.65%,-12.18%,52.51%,40.35%,-19.21%,30.31%,72.13%,41.09%,-17.50%,-24.58%
2008/12/31,2008/11/30,0.25%,0.49%,0.49%,0.76%,-1.91%,0.59%,2.27%,2.98%,4.71%,3.68%,-4.18%,-2.01%,-5.33%,1.15%,2.00%,1.75%,103,105,86,125,127,84,109,75,92,74,21.94%,-9.47%,46.13%,37.53%,-17.59%,32.58%,71.69%,42.70%,-20.95%,-26.10%
2009/01/31,2008/12/31,1.14%,0.59%,-3.19%,-2.54%,0.94%,-6.73%,-7.28%,-11.49%,-9.83%,-8.58%,7.92%,6.57%,13.91%,1.67%,-8.28%,-0.31%,104,106,83,122,128,78,101,66,83,68,21.70%,-11.14%,57.70%,46.57%,-24.42%,32.18%,85.39%,45.08%,-14.69%,-21.24%
2009/02/28,2009/01/31,-2.52%,2.24%,-1.40%,-1.76%,-3.36%,-9.62%,-8.13%,-11.11%,-15.43%,-15.54%,-2.44%,-3.10%,-4.48%,-14.74%,-10.22%,-13.81%,101,108,82,119,124,71,93,59,70,57,20.67%,-16.40%,53.86%,42.02%,-32.14%,13.92%,78.73%,23.69%,-16.77%,-23.68%
2009/03/31,2009/02/28,0.75%,0.46%,0.92%,0.93%,0.79%,7.02%,8.93%,10.10%,14.17%,14.00%,3.59%,8.88%,4.18%,19.39%,8.87%,16.73%,102,108,82,121,125,76,102,65,80,65,20.72%,-10.57%,59.38%,54.64%,-26.13%,32.97%,92.78%,47.67%,-13.78%,-16.91%
2009/04/30,2009/03/31,1.80%,0.28%,-1.84%,-2.79%,3.75%,6.29%,9.95%,14.60%,21.16%,24.38%,6.09%,19.32%,7.97%,37.26%,10.45%,31.47%,104,109,81,117,130,81,112,74,97,81,23.07%,5.61%,69.10%,84.52%,-18.40%,74.81%,133.3%,102.7%,-8.53%,-0.85%
2009/05/31,2009/04/30,-0.56%,-0.57%,-0.99%,0.48%,5.12%,4.26%,4.78%,4.51%,8.12%,13.65%,5.17%,10.56%,7.23%,18.81%,5.16%,15.64%,103,108,80,118,136,84,117,78,104,92,30.07%,15.53%,77.84%,104.0%,-14.20%,102.2%,157.7%,140.8%,-3.80%,0.00%
2009/06/30,2009/05/31,-0.22%,0.97%,-0.90%,2.05%,0.76%,0.23%,1.39%,-0.43%,1.05%,-0.74%,4.36%,2.80%,5.51%,5.80%,0.39%,4.96%,103,109,79,120,137,84,119,77,106,92,31.35%,14.41%,85.60%,109.7%,-13.86%,112.2%,169.5%,154.8%,0.00%,0.00%
2009/07/31,2009/06/30,0.11%,-1.37%,1.68%,-1.86%,-1.12%,6.54%,6.86%,10.08%,9.44%,11.40%,0.89%,3.64%,-1.21%,11.30%,7.78%,10.21%,103,108,81,118,136,90,127,85,115,102,29.73%,19.97%,87.26%,117.3%,-7.16%,133.8%,176.1%,183.6%,0.00%,0.00%
2009/08/31,2009/07/31,0.76%,-2.42%,0.08%,-2.19%,8.37%,2.03%,2.04%,4.58%,6.31%,16.11%,8.25%,13.67%,10.25%,19.22%,3.49%,15.12%,104,105,81,115,147,92,129,89,123,118,39.60%,36.86%,102.7%,147.0%,-3.92%,169.2%,208.2%,238.1%,0.00%,0.00%
2009/09/30,2009/08/31,0.09%,-0.16%,-1.04%,-1.69%,0.08%,4.56%,3.29%,4.03%,3.89%,8.95%,2.19%,5.24%,2.46%,12.46%,4.15%,10.89%,104,105,80,113,147,96,134,93,128,129,39.59%,42.87%,107.1%,160.0%,0.06%,198.5%,228.9%,280.2%,0.00%,0.00%
2009/10/31,2009/09/30,-0.39%,1.11%,1.54%,0.35%,-2.10%,-2.31%,-1.04%,-3.40%,-4.35%,-9.13%,-0.76%,-2.25%,-1.50%,-8.07%,-2.59%,-7.40%,104,106,81,114,144,94,132,90,122,117,37.19%,33.13%,105.6%,154.2%,-2.53%,176.4%,213.1%,249.5%,-0.76%,-2.25%
2009/11/30,2009/10/31,-0.67%,0.57%,1.28%,-0.49%,-0.92%,5.36%,5.86%,6.19%,5.30%,3.69%,-2.24%,-2.78%,-4.26%,-0.22%,5.59%,0.62%,103,107,82,113,143,99,140,95,128,122,36.85%,30.90%,100.9%,147.1%,2.92%,178.1%,197.6%,248.8%,-2.99%,-4.97%
2009/12/31,2009/11/30,-0.03%,0.27%,0.28%,0.35%,-0.86%,2.16%,3.17%,3.15%,4.81%,1.47%,1.92%,1.82%,1.55%,8.34%,2.80%,7.79%,103,107,82,114,141,101,144,98,135,123,35.70%,29.99%,104.8%,151.6%,5.80%,199.8%,212.4%,277.8%,-1.13%,-3.24%
2010/01/31,2009/12/31,-1.33%,0.04%,0.57%,0.35%,0.35%,-4.88%,-2.91%,-2.24%,-1.57%,-2.46%,3.95%,6.57%,4.12%,4.40%,-3.38%,2.42%,101,107,83,114,142,96,140,96,133,120,37.98%,33.14%,112.9%,168.1%,2.23%,207.1%,230.5%,294.4%,0.00%,0.00%
2010/02/28,2010/01/31,0.47%,-0.24%,-1.16%,1.72%,-2.11%,3.59%,2.66%,2.72%,6.01%,3.97%,1.48%,0.64%,2.01%,4.36%,3.44%,4.17%,102,107,82,116,139,99,144,99,141,125,34.43%,33.65%,116.0%,169.8%,5.74%,219.9%,233.0%,311.6%,0.00%,0.00%
2010/03/31,2010/02/28,-0.31%,-0.26%,0.83%,0.41%,2.33%,6.07%,5.44%,6.63%,7.61%,11.56%,4.04%,4.32%,4.76%,12.20%,6.36%,10.90%,102,107,83,116,142,105,152,105,151,140,37.97%,40.98%,124.8%,181.5%,12.47%,254.7%,248.1%,361.8%,0.00%,0.00%
2010/04/30,2010/03/31,-0.29%,-0.25%,1.27%,-0.69%,2.92%,1.63%,1.50%,3.04%,2.22%,6.87%,7.70%,8.08%,9.94%,15.06%,2.11%,12.64%,101,106,84,116,146,107,154,108,155,149,42.39%,48.36%,142.1%,204.2%,14.85%,299.6%,284.7%,431.4%,0.00%,0.00%
2010/05/31,2010/04/30,1.12%,-0.29%,-0.28%,0.37%,3.79%,-7.23%,-7.75%,-7.68%,-8.86%,-9.92%,-2.32%,-2.91%,-2.31%,-11.20%,-7.82%,-10.32%,102,106,83,116,152,99,142,100,141,134,46.21%,44.38%,136.5%,195.4%,5.86%,258.3%,275.1%,371.9%,-2.32%,-2.91%
2010/06/30,2010/05/31,-0.39%,1.39%,-0.11%,0.04%,0.70%,-5.59%,-3.86%,-5.33%,-7.34%,-9.42%,-4.70%,-5.27%,-5.36%,-12.30%,-5.53%,-10.72%,102,107,83,116,153,94,137,95,131,122,47.81%,38.85%,125.4%,179.8%,0.01%,219.9%,255.6%,313.9%,-6.91%,-8.03%
2010/07/31,2010/06/30,-0.91%,1.25%,0.47%,0.33%,-0.26%,6.52%,7.51%,7.01%,6.76%,8.50%,0.14%,-0.33%,-1.12%,5.90%,7.01%,6.00%,101,109,84,117,153,100,147,101,139,132,48.77%,41.59%,125.7%,178.9%,7.02%,239.1%,252.0%,338.3%,-6.78%,-8.33%
2010/08/31,2010/07/31,0.51%,0.79%,-0.11%,0.13%,0.15%,-4.39%,-3.58%,-5.28%,-5.53%,-7.75%,-1.81%,-1.87%,-1.07%,-8.14%,-4.66%,-7.58%,102,110,84,117,153,95,142,96,132,122,48.23%,36.84%,121.6%,173.7%,2.02%,213.4%,241.8%,302.6%,-8.47%,-10.05%
2010/09/30,2010/08/31,-0.85%,0.34%,-1.28%,1.96%,1.82%,10.03%,8.13%,9.25%,10.27%,11.26%,1.73%,0.19%,-0.68%,11.38%,9.41%,11.33%,101,110,83,119,156,105,153,105,145,136,52.19%,38.52%,125.4%,174.2%,11.62%,248.9%,248.4%,348.5%,-6.88%,-9.88%
2010/10/31,2010/09/30,-0.24%,0.71%,0.73%,-1.18%,2.11%,4.31%,3.98%,3.99%,1.71%,5.48%,0.55%,0.09%,0.32%,4.82%,3.89%,4.79%,101,111,83,118,159,109,159,109,148,143,55.77%,40.14%,126.7%,174.4%,15.96%,265.7%,251.5%,370.1%,-6.37%,-9.80%
2010/11/30,2010/10/31,-0.01%,0.59%,-0.66%,-0.69%,1.32%,1.13%,0.70%,-0.19%,-0.24%,0.28%,-0.92%,-1.44%,-1.60%,1.00%,0.54%,1.43%,101,111,83,117,161,111,160,109,147,143,57.83%,38.96%,124.6%,170.5%,16.58%,270.9%,254.7%,374.8%,-7.24%,-11.10%
2010/12/31,2010/11/30,-1.16%,-0.32%,-1.42%,0.64%,-3.03%,5.92%,6.13%,6.11%,9.14%,10.70%,1.47%,4.10%,0.81%,11.68%,6.70%,10.45%,99,111,81,117,156,117,170,115,161,159,54.88%,45.60%,127.9%,181.6%,24.40%,309.6%,267.9%,430.2%,-5.88%,-7.45%
2011/01/31,2010/12/31,-0.03%,0.23%,0.70%,0.01%,-2.26%,1.71%,2.21%,2.44%,2.04%,1.87%,2.79%,4.19%,3.98%,6.00%,2.06%,4.74%,99,111,82,117,153,119,174,118,164,162,51.43%,45.83%,134.2%,193.3%,26.96%,329.1%,277.8%,462.0%,-3.25%,-3.58%
2011/02/28,2011/01/31,0.18%,0.46%,-1.36%,0.94%,-2.20%,3.71%,3.60%,2.29%,4.72%,2.65%,0.31%,1.18%,-0.02%,5.28%,3.59%,4.92%,100,112,81,119,149,124,180,121,172,166,47.82%,44.29%,134.9%,196.8%,31.52%,350.2%,282.8%,491.7%,-2.95%,-2.44%
2011/03/31,2011/02/28,0.42%,0.17%,0.08%,0.15%,2.94%,1.18%,0.18%,0.42%,-0.23%,-0.71%,-1.07%,-2.07%,-1.02%,-0.24%,0.49%,0.38%,100,112,81,119,154,125,180,121,171,165,51.54%,41.57%,132.4%,190.7%,32.16%,351.9%,282.4%,490.3%,-3.99%,-4.46%
2011/04/30,2011/03/31,-0.81%,0.74%,0.77%,0.28%,0.13%,2.70%,3.28%,3.23%,2.82%,2.32%,-1.78%,-2.33%,-2.36%,0.03%,2.97%,0.73%,99,113,82,119,154,128,186,125,176,169,52.95%,41.03%,128.3%,183.9%,36.08%,355.2%,273.9%,490.5%,-5.70%,-6.69%
2011/05/31,2011/04/30,-0.34%,0.35%,0.94%,0.17%,-0.78%,-1.17%,-1.04%,-0.57%,-1.78%,-3.78%,-1.07%,-1.32%,-1.29%,-2.98%,-1.22%,-2.58%,99,113,82,119,153,127,184,125,173,162,52.27%,37.35%,125.8%,180.1%,34.42%,343.5%,268.8%,472.9%,-6.71%,-7.93%
2011/06/30,2011/05/31,1.06%,-0.14%,0.24%,-0.14%,-0.30%,-0.95%,-1.85%,-1.80%,-2.65%,-3.43%,-2.60%,-2.73%,-2.52%,-4.78%,-1.74%,-3.96%,100,113,83,119,152,126,181,122,168,157,50.20%,33.93%,120.0%,172.5%,32.08%,325.9%,260.6%,445.5%,-9.14%,-10.44%
2011/07/31,2011/06/30,2.34%,-1.53%,0.47%,-0.27%,-0.03%,-0.25%,-3.69%,-2.03%,-3.54%,-3.20%,-0.62%,-0.61%,0.58%,-2.66%,-2.26%,-2.48%,102,111,83,119,152,125,174,120,163,152,46.64%,29.98%,118.6%,170.8%,29.09%,315.3%,259.8%,431.0%,-9.70%,-10.98%
2011/08/31,2011/07/31,0.98%,0.69%,0.26%,-0.03%,-2.39%,-5.38%,-5.38%,-5.27%,-7.22%,-10.65%,-3.94%,-4.73%,-4.32%,-13.16%,-5.89%,-11.74%,103,112,83,119,148,119,165,114,151,136,41.69%,23.13%,110.0%,158.0%,21.49%,266.6%,238.8%,361.1%,-13.25%,-15.19%
2011/09/30,2011/08/31,0.44%,-0.55%,0.49%,-0.40%,-3.56%,-7.39%,-7.45%,-6.38%,-8.89%,-13.14%,-1.98%,-1.88%,-3.12%,-12.53%,-7.63%,-11.97%,104,111,84,118,143,110,153,106,137,118,36.02%,16.04%,105.8%,153.2%,12.22%,222.7%,224.1%,303.3%,-14.97%,-16.79%
2011/10/31,2011/09/30,-0.84%,0.21%,0.27%,-0.40%,2.36%,10.86%,10.73%,11.54%,12.38%,15.77%,-3.01%,-2.24%,-4.53%,10.23%,11.39%,10.90%,103,112,84,118,147,122,169,119,154,136,40.38%,21.74%,99.65%,147.5%,25.00%,257.9%,222.5%,344.5%,-17.53%,-18.65%
2011/11/30,2011/10/31,0.28%,0.89%,0.43%,0.33%,-1.82%,-0.23%,0.41%,-0.61%,-1.00%,-4.09%,-2.68%,-4.31%,-3.11%,-5.67%,-0.35%,-4.38%,103,113,84,118,144,122,170,118,153,131,37.44%,17.04%,94.30%,136.8%,24.56%,242.2%,209.5%,319.3%,-19.74%,-22.16%
2011/12/31,2011/11/30,-1.08%,1.53%,1.84%,0.15%,-3.01%,-0.91%,2.02%,2.67%,0.63%,-0.88%,-0.23%,0.46%,-0.55%,0.17%,0.85%,0.03%,102,114,86,118,140,121,173,121,154,130,34.78%,17.08%,93.84%,137.9%,25.62%,242.3%,207.0%,320.0%,-19.93%,-21.80%
2012/01/31,2011/12/31,-0.88%,-1.32%,-0.23%,-1.56%,1.15%,5.26%,3.57%,5.72%,6.67%,8.31%,4.03%,5.86%,4.33%,14.35%,5.09%,12.59%,101,113,86,117,141,127,179,128,164,140,37.51%,20.65%,101.7%,151.8%,32.02%,285.4%,230.0%,380.3%,-16.70%,-17.22%
2012/02/29,2012/01/31,0.60%,-0.88%,-0.47%,0.00%,-0.78%,4.47%,3.52%,4.36%,4.59%,6.22%,0.95%,1.76%,1.61%,5.52%,4.25%,4.99%,102,112,85,117,140,133,186,134,172,149,35.61%,22.76%,103.6%,156.3%,37.63%,304.6%,232.4%,406.8%,-15.92%,-15.76%
2012/03/31,2012/02/29,0.38%,0.16%,0.41%,0.04%,-0.92%,3.12%,2.91%,3.40%,3.17%,4.26%,1.10%,2.10%,1.59%,4.97%,3.15%,4.34%,102,112,85,117,139,137,191,138,177,155,33.85%,24.15%,105.8%,161.7%,41.95%,322.2%,236.4%,432.0%,-14.99%,-13.99%
2012/04/30,2012/03/31,1.19%,0.03%,1.32%,-0.03%,0.43%,-0.06%,-0.74%,-0.48%,-2.26%,-2.51%,-0.20%,-1.07%,0.80%,-1.78%,-0.69%,-1.46%,103,112,87,117,139,137,190,137,173,152,32.84%,21.10%,105.4%,158.9%,40.97%,316.0%,233.8%,422.5%,-15.17%,-14.91%
2012/05/31,2012/04/30,-0.52%,1.66%,0.05%,0.59%,0.62%,-6.14%,-4.39%,-6.54%,-7.80%,-10.33%,1.79%,-0.85%,1.94%,-7.61%,-6.09%,-7.36%,103,114,87,117,140,128,181,128,160,136,34.35%,16.03%,109.0%,156.7%,32.39%,285.4%,229.6%,382.8%,-13.65%,-15.64%
2012/06/30,2012/05/31,-0.33%,0.45%,0.96%,-1.54%,0.91%,3.32%,3.98%,4.91%,3.34%,6.01%,-1.34%,-0.67%,-1.94%,3.11%,3.98%,3.31%,102,115,87,115,142,132,189,135,165,144,36.02%,19.14%,106.3%,154.9%,37.67%,298.2%,227.4%,397.8%,-14.80%,-16.20%
2012/07/31,2012/06/30,0.84%,0.26%,-0.43%,-0.31%,-0.87%,1.52%,1.57%,-0.33%,-0.92%,-1.17%,0.26%,0.10%,1.00%,-0.57%,0.87%,-0.60%,103,115,87,115,140,134,192,134,163,142,33.69%,15.94%,106.8%,155.2%,38.87%,295.8%,222.5%,394.9%,-14.58%,-16.12%
2012/08/31,2012/07/31,0.25%,-0.23%,-0.49%,0.01%,-0.81%,2.24%,2.15%,2.07%,3.81%,4.73%,-1.58%,0.43%,-1.91%,3.28%,2.50%,3.16%,104,115,87,115,139,137,196,137,170,149,32.28%,18.83%,103.5%,156.3%,42.34%,308.3%,224.7%,411.2%,-15.93%,-15.76%
2012/09/30,2012/08/31,-0.33%,-0.08%,1.10%,-1.12%,-1.06%,1.90%,2.35%,3.88%,2.40%,3.95%,1.01%,3.73%,0.88%,7.12%,2.56%,6.00%,103,114,88,114,138,140,200,142,174,155,31.32%,21.27%,105.6%,165.9%,45.99%,332.8%,235.8%,447.6%,-15.08%,-12.61%
2012/10/31,2012/09/30,-0.77%,0.31%,0.48%,0.76%,1.39%,-3.17%,-1.65%,-0.72%,-1.02%,1.73%,-4.25%,-1.47%,-4.45%,-3.35%,-1.70%,-2.91%,102,115,88,115,140,136,197,141,172,158,34.16%,27.20%,96.83%,161.9%,43.50%,320.2%,231.8%,429.3%,-18.70%,-13.90%
2012/11/30,2012/10/31,0.06%,0.05%,-0.56%,0.28%,-2.12%,1.11%,0.89%,0.12%,0.97%,-1.89%,-0.66%,-0.92%,-1.22%,-0.39%,0.66%,-0.12%,102,115,88,115,137,137,199,142,174,155,31.23%,23.39%,95.53%,159.5%,44.45%,319.7%,229.2%,427.2%,-19.23%,-14.69%
2012/12/31,2012/11/30,-0.64%,0.82%,0.03%,-0.17%,1.42%,-0.23%,1.39%,1.24%,1.74%,7.41%,-2.27%,0.99%,-3.31%,3.16%,1.26%,2.86%,102,116,88,115,139,137,201,143,177,166,33.93%,32.82%,91.09%,162.1%,46.27%,331.7%,234.5%,443.8%,-21.07%,-13.84%
2013/01/31,2012/12/31,-2.04%,0.86%,0.35%,1.21%,-1.51%,3.28%,6.19%,5.59%,7.23%,7.39%,2.76%,4.25%,3.56%,11.07%,5.53%,9.79%,100,117,88,116,136,141,214,151,189,178,34.64%,38.28%,96.37%,173.3%,54.35%,374.0%,248.7%,504.0%,-18.88%,-10.17%
2013/02/28,2013/01/31,-0.60%,0.43%,0.09%,0.25%,0.41%,0.64%,1.87%,1.31%,1.50%,0.94%,0.13%,0.14%,0.09%,1.14%,1.30%,1.10%,99,117,88,116,137,142,218,153,192,180,36.00%,38.70%,96.63%,173.7%,56.35%,379.2%,248.0%,510.9%,-18.78%,-10.05%
2013/03/31,2013/02/28,-0.43%,-0.61%,-0.14%,0.72%,2.95%,3.81%,3.64%,3.57%,4.73%,6.55%,0.63%,0.33%,0.43%,4.69%,4.00%,4.59%,99,117,88,117,141,148,226,159,201,192,40.59%,42.50%,97.86%,174.6%,62.60%,401.2%,250.1%,539.6%,-18.27%,-9.75%
2013/04/30,2013/03/31,-0.29%,-0.03%,0.62%,0.50%,1.73%,0.59%,2.10%,1.73%,2.20%,2.73%,-0.38%,-0.38%,-0.13%,-0.19%,1.68%,-0.08%,98,117,88,118,143,149,231,162,206,197,43.44%,45.54%,97.12%,173.5%,65.33%,400.8%,244.0%,538.3%,-18.58%,-10.10%
2013/05/31,2013/04/30,0.67%,-0.94%,-0.45%,-0.24%,-1.04%,2.64%,1.39%,2.47%,2.80%,6.59%,0.47%,2.54%,0.53%,7.08%,2.46%,6.32%,99,115,88,118,142,152,234,165,211,210,40.99%,51.29%,98.05%,180.5%,69.40%,432.5%,257.2%,583.6%,-18.19%,-7.81%
2013/06/30,2013/05/31,-1.15%,0.39%,-0.05%,0.77%,-0.97%,-2.00%,-1.01%,-1.08%,-0.45%,-2.40%,-0.65%,-0.68%,-0.39%,-1.00%,-1.25%,-0.79%,98,116,88,119,141,149,231,164,210,205,41.24%,50.68%,96.75%,178.6%,67.28%,428.2%,258.9%,576.7%,-18.73%,-8.43%
2013/07/31,2013/06/30,0.65%,-0.58%,-0.82%,0.21%,-0.96%,6.35%,5.00%,4.71%,5.72%,6.60%,0.79%,1.73%,1.16%,9.49%,5.46%,8.97%,99,115,87,119,139,159,243,171,222,219,38.97%,51.05%,98.31%,183.4%,76.41%,475.6%,271.5%,641.0%,-18.08%,-6.85%
2013/08/31,2013/07/31,0.12%,-0.43%,-0.21%,-0.15%,-0.01%,-1.41%,-3.35%,-2.73%,-3.42%,-4.32%,0.45%,0.03%,1.33%,-1.94%,-2.84%,-1.95%,99,115,87,119,139,157,235,167,215,209,38.78%,46.65%,99.20%,183.5%,71.40%,464.4%,274.8%,626.6%,-17.72%,-6.82%
2013/09/30,2013/08/31,0.65%,0.08%,-0.55%,-0.59%,-1.17%,5.35%,4.12%,2.94%,2.82%,2.51%,0.65%,0.08%,1.09%,6.16%,3.76%,6.13%,99,115,87,118,138,165,245,172,221,214,36.25%,42.49%,100.5%,183.7%,77.84%,499.0%,283.7%,671.3%,-17.18%,-6.75%
2013/10/31,2013/09/30,1.00%,-0.41%,-0.58%,0.59%,-0.48%,4.21%,4.37%,3.79%,4.58%,4.07%,-0.35%,0.23%,-1.48%,2.66%,4.19%,2.59%,100,114,86,119,137,172,255,178,231,223,34.24%,42.29%,99.79%,184.4%,85.29%,514.5%,277.6%,691.8%,-17.47%,-6.53%
2013/11/30,2013/10/31,0.07%,-1.15%,-0.54%,0.17%,-0.14%,3.46%,2.08%,2.63%,3.14%,2.96%,-0.49%,-0.59%,-0.04%,4.23%,2.86%,4.41%,100,113,86,119,137,178,261,183,238,230,33.95%,41.58%,98.81%,182.7%,90.59%,541.6%,283.4%,725.3%,-17.88%,-7.08%
